X,Y,Path_curvature,Xin,Yin,Xout,Yout
0,0,1.26157E-07,-2.813263368,-5,-2.813263368,5
-2.813263368,0,1.26157E-07,-2.417049043,5,-2.417049043,-5
-2.417049043,0,1.26157E-07,-2.020839905,5,-2.020839905,-5
-2.020839905,0,1.26157E-07,-1.624671884,5,-1.624671884,-5
-1.624671884,0,1.26157E-07,-1.228558022,5,-1.228558022,-5
-1.228558022,0,1.26157E-07,-0.832488584,5,-0.832488584,-5
-0.832488584,0,1.26157E-07,-0.436446908,5,-0.436446908,-5
-0.436446908,0,1.26157E-07,-0.17265518,5,-0.17265518,-5
-0.17265518,0,1.26157E-07,-0.355593963,-5,-0.355593963,5
-0.355593963,0,1.26157E-07,-0.751656325,-5,-0.751656325,5
-0.751656325,0,2.71933E-07,-1.147899211,-5,-1.147899211,5
-1.147899211,0,3.79053E-07,-1.544447909,-5,-1.544447909,5
-1.544447909,0,-2.23854E-07,-1.941359279,-5,-1.941359279,5
-1.941359279,0,-1.17168E-06,-2.338640779,-5,-2.338640779,5
-2.338640779,0,-1.20966E-06,-2.73626963,-5,-2.73626963,5
-2.73626963,0,1.97028E-06,-3.134195763,-5,-3.134195763,5
-3.134195763,0,5.25552E-06,-3.53239896,-5,-3.53239896,5
-3.53239896,0,9.08169E-07,-3.930874281,-5,-3.930874281,5
-3.930874281,0,-1.19882E-05,-4.329625227,-5,-4.329625227,5
-4.329625227,0,-2.06977E-05,-4.728656185,-5,-4.728656185,5
-4.728656185,0,1.18728E-05,-5.127968485,-5,-5.127968485,5
-5.127968485,0,6.23914E-05,-5.527559837,-5,-5.527559837,5
-5.527559837,0,8.92694E-05,-5.927425564,-5,-5.927425564,5
-5.927425564,0,4.75319E-05,-6.327560235,-5,-6.327560235,5
-6.327560235,0,-1.32079E-06,-6.727958841,-5,-6.727958841,5
-6.727958841,0,-1.98016E-05,-7.12861729,-5,-7.12861729,5
-7.12861729,0,-7.87496E-06,-7.529532346,-5,-7.529532346,5
-7.529532346,0,4.25733E-06,-7.930710449,-5,-7.930710449,5
-7.930710449,0,4.43271E-06,-8.332146104,-5,-8.332146104,5
-8.332146104,0,7.87311E-07,-8.73382972,-5,-8.73382972,5
-8.73382972,0,-1.46691E-06,-9.135758499,-5,-9.135758499,5
-9.135758499,0,-8.29782E-07,-9.53792977,-5,-9.53792977,5
-9.53792977,0,9.6905E-08,-9.940341089,-5,-9.940341089,5
-9.940341089,0,3.77259E-07,-10.34299028,-5,-10.34299028,5
-10.34299028,0,1.25047E-07,-10.74587545,-5,-10.74587545,5
-10.74587545,0,-1.04498E-07,-11.1489949,-5,-11.1489949,5
-11.1489949,0,-7.7533E-08,-11.5523472,-5,-11.5523472,5
-11.5523472,0,-7.322E-09,-11.95593109,-5,-11.95593109,5
-11.95593109,0,2.7824E-08,-12.35974556,-5,-12.35974556,5
-12.35974556,0,1.3632E-08,-12.76378979,-5,-12.76378979,5
-12.76378979,0,-3.815E-09,-13.16806322,-5,-13.16806322,5
-13.16806322,0,-6.786E-09,-13.5725781,-5,-13.5725781,5
-13.5725781,0,-1.715E-09,-13.97732356,-5,-13.97732356,5
-13.97732356,0,2.041E-09,-14.38229769,-5,-14.38229769,5
-14.38229769,0,1.295E-09,-14.78750066,-5,-14.78750066,5
-14.78750066,0,-2.2E-11,-15.19293275,-5,-15.19293275,5
