X,Y,Path_curvature,Xin,Yin,Xout,Yout
2.836236164,-0.061450872,0,2.812401592,5,2.812401592,-5
2.440866368,-0.052884654,0,2.395251761,-5,2.395251761,5
2.045494453,-0.044318389,0,1.978105986,-5,1.978105986,5
1.650153015,-0.035752785,0,1.560999235,-5,1.560999235,5
1.254858775,-0.027188204,0,1.143944847,-5,1.143944847,5
0.859608036,-0.018624565,0,0.726934433,-5,0.726934433,5
0.464387448,-0.010061579,0,0.309952583,-5,0.309952583,5
0.069185484,-0.001498997,0,-0.10701136,-5,-0.10701136,5
-0.326075127,-0.005393172,0,-0.523965178,-5,-0.523965178,5
-0.721404219,-0.011931781,0,-0.940958335,-5,-0.940958335,5
-1.116905227,-0.018473234,0,-1.358114481,-5,-1.358114481,5
-1.512665873,-0.025018981,0,-1.775554668,-5,-1.775554668,5
-1.90872379,-0.031569644,0,-2.193336757,-5,-2.193336757,5
-2.305080525,-0.03812525,0,-2.611465475,-5,-2.611465475,5
-2.701717639,-0.044685493,0,-3.029916576,-5,-3.029916576,5
-3.098611555,-0.051249984,0,-3.448669987,-5,-3.448669987,5
-3.495744935,-0.057818436,0,-3.867698764,-5,-3.867698764,5
-3.893111042,-0.064390736,0,-4.286992944,-5,-4.286992944,5
-4.290711017,-0.070966905,0,-4.70655598,-5,-4.70655598,5
-4.68854888,-0.077547008,0,-5.126392702,-5,-5.126392702,5
-5.086627761,-0.084131098,0,-5.546505816,-5,-5.546505816,5
-5.484948574,-0.090719189,0,-5.966895098,-5,-5.966895098,5
-5.883510529,-0.097311269,0,-6.387557948,-5,-6.387557948,5
-6.2823121,-0.103907312,0,-6.808490204,-5,-6.808490204,5
-6.681351679,-0.110507291,0,-7.229686942,-5,-7.229686942,5
-7.080627231,-0.117111173,0,-7.651143269,-5,-7.651143269,5
-7.480136033,-0.123718913,0,-8.072854865,-5,-8.072854865,5
-7.879874802,-0.130330457,-1.00E-12,-8.494818025,-5,-8.494818025,5
-8.279840058,-0.136945747,0,-8.917029472,-5,-8.917029472,5
-8.680028436,-0.143564727,5.00E-12,-9.339486149,-5,-9.339486149,5
-9.080436831,-0.150187346,4.00E-12,-9.762190121,-5,-9.762190121,5
-9.481062407,-0.156813557,-1.10E-11,-10.1851421,-5,-10.1851421,5
-9.88190259,-0.163443318,-2.70E-11,-10.60833051,-5,-10.60833051,5
-10.28295495,-0.170076588,-4.50E-11,-11.03175287,-5,-11.03175287,5
-10.6842172,-0.176713329,-6.60E-11,-11.45540695,-5,-11.45540695,5
-11.08568712,-0.183353505,-3.10E-11,-11.87929076,-5,-11.87929076,5
-11.48736268,-0.189997083,1.32E-10,-12.30340257,-5,-12.30340257,5
-11.889242,-0.196644031,2.83E-10,-12.7277409,-5,-12.7277409,5
-12.29132338,-0.20329432,1.50E-10,-13.15230451,-5,-13.15230451,5
-12.69360533,-0.209947927,-1.40E-10,-13.57709243,-5,-13.57709243,5
-13.09608659,-0.216604831,-2.87E-10,-14.00210389,-5,-14.00210389,5
-13.49876609,-0.223265013,-1.36E-10,-14.42733839,-5,-14.42733839,5
-13.90164297,-0.22992846,3.20E-11,-14.8527956,-5,-14.8527956,5
-14.30471656,-0.236595161,6.30E-11,-15.27847542,-5,-15.27847542,5
-14.70798637,-0.243265106,2.60E-11,-15.70437789,-5,-15.70437789,5
-15.11145209,-0.249938293,-1.00E-11,-16.13050379,-5,-16.13050379,5
-15.51511359,-0.256614717,-4.60E-11,-16.5568652,-5,-16.5568652,5
-15.91897086,-0.263294379,-6.80E-11,-16.98345023,-5,-16.98345023,5
-16.32302401,-0.269977281,5.50E-11,-17.4102593,-5,-17.4102593,5
-16.72727327,-0.276663427,2.37E-10,-17.83729283,-5,-17.83729283,5
-17.13171891,-0.283352821,2.43E-10,-18.26455122,-5,-18.26455122,5
-17.53636125,-0.290045468,-2.50E-11,-18.69203483,-5,-18.69203483,5
-17.94120059,-0.296741373,-2.81E-10,-19.11974397,-5,-19.11974397,5
-18.34623724,-0.303440542,-2.05E-10,-19.54767893,-5,-19.54767893,5
-18.75147147,-0.310142979,-2.30E-11,-19.97583997,-5,-19.97583997,5
-19.15690352,-0.316848688,6.70E-11,-20.4042273,-5,-20.4042273,5
-19.56253365,-0.323557672,4.00E-11,-20.8328411,-5,-20.8328411,5
-19.96836206,-0.330269937,3.00E-12,-21.26168151,-5,-21.26168151,5
-20.37438895,-0.336985483,-3.40E-11,-21.69074865,-5,-21.69074865,5
-20.78061447,-0.343704316,-6.80E-11,-22.1200426,-5,-22.1200426,5
-21.18703879,-0.350426436,-1.00E-12,-22.5495634,-5,-22.5495634,5
-21.593662,-0.357151846,1.77E-10,-22.97932059,-5,-22.97932059,5
-22.00048421,-0.363880548,3.11E-10,-23.40930823,-5,-23.40930823,5
-22.40750549,-0.370612542,6.80E-11,-23.83952268,-5,-23.83952268,5
-22.8147259,-0.377347829,-2.14E-10,-24.26996389,-5,-24.26996389,5
-23.22214548,-0.384086411,-2.56E-10,-24.70063178,-5,-24.70063178,5
-23.62976426,-0.390828287,-7.70E-11,-25.13152625,-5,-25.13152625,5
-24.03758221,-0.397573458,6.70E-11,-25.56264718,-5,-25.56264718,5
-24.44559932,-0.404321922,5.00E-11,-25.99399445,-5,-25.99399445,5
-24.85381555,-0.41107368,1.30E-11,-26.4255679,-5,-26.4255679,5
-25.26223087,-0.417828731,-2.40E-11,-26.85736739,-5,-26.85736739,5
-25.6708452,-0.424587074,-6.00E-11,-27.28939277,-5,-27.28939277,5
-26.07965848,-0.431348707,-3.90E-11,-27.72164386,-5,-27.72164386,5
-26.48867063,-0.438113629,1.30E-10,-28.1541205,-5,-28.1541205,5
-26.89788153,-0.444881838,2.86E-10,-28.58682253,-5,-28.58682253,5
-27.30729109,-0.451653334,1.40E-10,-29.01974976,-5,-29.01974976,5
-27.71689919,-0.458428113,-1.55E-10,-29.45290734,-5,-29.45290734,5
-28.12670572,-0.465206174,-2.79E-10,-29.88629747,-5,-29.88629747,5
-28.53671055,-0.471987515,-1.19E-10,-30.31991229,-5,-30.31991229,5
-28.94691357,-0.478772134,4.80E-11,-30.75375166,-5,-30.75375166,5
-29.35731462,-0.485560028,5.80E-11,-31.1878154,-5,-31.1878154,5
-29.7679136,-0.492351196,2.10E-11,-31.62210339,-5,-31.62210339,5
-30.17871037,-0.499145635,-1.60E-11,-32.05661547,-5,-32.05661547,5
-30.58970483,-0.505943344,-5.30E-11,-32.49135152,-5,-32.49135152,5
-31.00089685,-0.51274432,-6.70E-11,-32.9263114,-5,-32.9263114,5
-31.41228632,-0.519548563,9.50E-11,-33.36149498,-5,-33.36149498,5
-31.82387309,-0.526356068,2.67E-10,-33.79690217,-5,-33.79690217,5
-32.23565708,-0.533166836,1.90E-10,-34.23253285,-5,-34.23253285,5
-32.64763815,-0.539980863,-1.05E-10,-34.66838691,-5,-34.66838691,5
-33.05981623,-0.546798149,-2.96E-10,-35.10446428,-5,-35.10446428,5
-33.47219122,-0.553618691,-1.49E-10,-35.54076485,-5,-35.54076485,5
-33.88476303,-0.560442489,2.60E-11,-35.9772897,-5,-35.9772897,5
-34.29753156,-0.56726954,6.40E-11,-36.41404934,-5,-36.41404934,5
-34.71049674,-0.574099844,2.60E-11,-36.85103195,-5,-36.85103195,5
-35.12365848,-0.5809334,-1.10E-11,-37.28823748,-5,-37.28823748,5
-35.53701672,-0.587770205,-4.80E-11,-37.72566587,-5,-37.72566587,5
-35.95057137,-0.594610258,-6.80E-11,-38.16331708,-5,-38.16331708,5
-36.36432237,-0.60145356,7.30E-11,-38.60119105,-5,-38.60119105,5
-36.77826967,-0.608300107,2.54E-10,-39.03928775,-5,-39.03928775,5
-37.1924132,-0.615149901,2.12E-10,-39.47760714,-5,-39.47760714,5
-37.6067529,-0.622002939,-7.60E-11,-39.91614918,-5,-39.91614918,5
-38.02128873,-0.628859221,-3.04E-10,-40.35491384,-5,-40.35491384,5
-38.43602064,-0.635718746,-1.65E-10,-40.7939011,-5,-40.7939011,5
-38.8509486,-0.642581514,1.30E-11,-41.23311092,-5,-41.23311092,5
-39.26607256,-0.649447524,6.60E-11,-41.67254329,-5,-41.67254329,5
-39.68139249,-0.656316774,2.90E-11,-42.11219817,-5,-42.11219817,5
-40.09690835,-0.663189266,-9.00E-12,-42.55207556,-5,-42.55207556,5
-40.51262011,-0.670064997,-4.60E-11,-42.99218532,-5,-42.99218532,5
-40.92852774,-0.676943969,-6.90E-11,-43.43252048,-5,-43.43252048,5
-41.34463122,-0.683826179,6.40E-11,-43.87307807,-5,-43.87307807,5
-41.76093052,-0.690711628,2.49E-10,-44.31385806,-5,-44.31385806,5
-42.17742562,-0.697600316,2.20E-10,-44.75486044,-5,-44.75486044,5
-42.59411651,-0.704492242,-6.60E-11,-45.19608518,-5,-45.19608518,5
-43.01100317,-0.711387406,-3.07E-10,-45.63753226,-5,-45.63753226,5
-43.42808558,-0.718285808,-1.69E-10,-46.07920165,-5,-46.07920165,5
-43.84536373,-0.725187447,1.10E-11,-46.52109332,-5,-46.52109332,5
-44.2628376,-0.732092323,6.70E-11,-46.96320724,-5,-46.96320724,5
-44.68050718,-0.739000436,2.90E-11,-47.40554338,-5,-47.40554338,5
-45.09837245,-0.745911786,-9.00E-12,-47.84810171,-5,-47.84810171,5
-45.5164334,-0.752826372,-4.60E-11,-48.29088219,-5,-48.29088219,5
-45.93469,-0.759744195,-6.80E-11,-48.73388479,-5,-48.73388479,5
-46.35314226,-0.766665253,6.80E-11,-49.17710945,-5,-49.17710945,5
-46.77179014,-0.773589547,2.52E-10,-49.62056196,-5,-49.62056196,5
-47.19063363,-0.780517076,2.13E-10,-50.06424347,-5,-50.06424347,5
-47.60967271,-0.787447841,-7.70E-11,-50.50814691,-5,-50.50814691,5
-48.02890737,-0.79438184,-3.02E-10,-50.95227225,-5,-50.95227225,5
-48.44833758,-0.801319073,-1.60E-10,-51.39661943,-5,-51.39661943,5
-48.86796332,-0.80825954,2.00E-11,-51.8411884,-5,-51.8411884,5
-49.28778456,-0.815203241,6.50E-11,-52.2859791,-5,-52.2859791,5
-49.70780129,-0.822150176,2.70E-11,-52.7309915,-5,-52.7309915,5
-50.12801346,-0.829100342,-1.10E-11,-53.17622552,-5,-53.17622552,5
-50.54842105,-0.836053741,-4.90E-11,-53.62168111,-5,-53.62168111,5
-50.96902403,-0.843010372,-6.90E-11,-54.06735822,-5,-54.06735822,5
-51.38982236,-0.849970234,8.40E-11,-54.51325679,-5,-54.51325679,5
-51.81081601,-0.856933326,2.63E-10,-54.95937674,-5,-54.95937674,5
-52.23200493,-0.863899648,1.93E-10,-55.40571804,-5,-55.40571804,5
-52.65338909,-0.870869199,-1.09E-10,-55.8522806,-5,-55.8522806,5
-53.07496845,-0.877841979,-2.91E-10,-56.2990661,-5,-56.2990661,5
-53.49674296,-0.884817986,-1.38E-10,-56.74608379,-5,-56.74608379,5
-53.91871257,-0.89179722,3.80E-11,-57.19332255,-5,-57.19332255,5
-54.34087724,-0.898779681,6.00E-11,-57.64078233,-5,-57.64078233,5
-54.76323692,-0.905765366,2.10E-11,-58.08846306,-5,-58.08846306,5
-55.18579155,-0.912754277,-1.70E-11,-58.53636467,-5,-58.53636467,5
-55.6085411,-0.919746411,-5.50E-11,-58.9844871,-5,-58.9844871,5
-56.0314855,-0.926741768,-5.60E-11,-59.43283028,-5,-59.43283028,5
-56.45462471,-0.933740347,1.13E-10,-59.88139415,-5,-59.88139415,5
-56.87795867,-0.940742147,2.81E-10,-60.33017865,-5,-60.33017865,5
-57.30148732,-0.947747167,1.45E-10,-60.77918371,-5,-60.77918371,5
-57.72521059,-0.954755407,-1.60E-10,-61.22840926,-5,-61.22840926,5
-58.14912845,-0.961766864,-2.74E-10,-61.67785524,-5,-61.67785524,5
-58.57324083,-0.968781539,-1.04E-10,-62.12752158,-5,-62.12752158,5
-58.99754768,-0.975799431,6.50E-11,-62.57740823,-5,-62.57740823,5
-59.42204895,-0.982820537,5.20E-11,-63.02751511,-5,-63.02751511,5
-59.84674457,-0.989844859,1.40E-11,-63.47785254,-5,-63.47785254,5
-60.27163448,-0.996872394,-2.40E-11,-63.9284124,-5,-63.9284124,5
-60.69671862,-1.003903142,-6.20E-11,-64.37919231,-5,-64.37919231,5
-61.12199694,-1.010937101,-2.40E-11,-64.83019219,-5,-64.83019219,5
-61.54746935,-1.01797427,1.54E-10,-65.28141197,-5,-65.28141197,5
-61.97313582,-1.025014649,3.06E-10,-65.73285161,-5,-65.73285161,5
-62.39899627,-1.032058237,7.50E-11,-66.18451103,-5,-66.18451103,5
-62.82505065,-1.039105032,-2.17E-10,-66.63639016,-5,-66.63639016,5
-63.25129889,-1.046155033,-2.47E-10,-67.08848896,-5,-67.08848896,5
-63.67774093,-1.05320824,-5.60E-11,-67.54080735,-5,-67.54080735,5
-64.10437671,-1.060264651,6.60E-11,-67.99334528,-5,-67.99334528,5
-64.53120618,-1.067324265,4.30E-11,-68.44610267,-5,-68.44610267,5
-64.95822927,-1.074387083,5.00E-12,-68.89907946,-5,-68.89907946,5
-65.38544592,-1.081453101,-3.50E-11,-69.35227561,-5,-69.35227561,5
-65.81285608,-1.08852232,-6.90E-11,-69.80569103,-5,-69.80569103,5
-66.24045967,-1.095594738,1.60E-11,-70.25933196,-5,-70.25933196,5
-66.66825665,-1.102670355,2.10E-10,-70.7131984,-5,-70.7131984,5
-67.09624694,-1.10974917,2.63E-10,-71.16728393,-5,-71.16728393,5
-67.5244305,-1.116831181,-1.40E-11,-71.62158848,-5,-71.62158848,5
-67.95280727,-1.123916387,-2.88E-10,-72.07611198,-5,-72.07611198,5
-68.38137717,-1.131004788,-1.91E-10,-72.53085437,-5,-72.53085437,5
-68.81014016,-1.138096382,-5.00E-12,-72.9858156,-5,-72.9858156,5
-69.23909617,-1.145191169,6.90E-11,-73.44099559,-5,-73.44099559,5
-69.66824515,-1.152289148,3.70E-11,-73.89639428,-5,-73.89639428,5
-70.09758704,-1.159390317,-4.00E-12,-74.35201161,-5,-74.35201161,5
-70.52712177,-1.166494676,-6.80E-11,-74.80784751,-5,-74.80784751,5
-70.95684929,-1.173602223,-1.08E-10,-75.26390191,-5,-75.26390191,5
-71.38676953,-1.180712958,1.28E-10,-75.72017476,-5,-75.72017476,5
-71.81688245,-1.18782688,4.04E-10,-76.17666597,-5,-76.17666597,5
-72.24718797,-1.194943987,1.54E-10,-76.6333755,-5,-76.6333755,5
-72.67768605,-1.20206428,-5.66E-10,-77.09030553,-5,-77.09030553,5
-73.10837661,-1.209187755,-5.47E-10,-77.54746407,-5,-77.54746407,5
-73.5392596,-1.216314414,1.03E-09,-78.00484071,-5,-78.00484071,5
-73.97033495,-1.223444254,2.20E-09,-78.46243538,-5,-78.46243538,5
-74.40160262,-1.230577276,-2.42E-09,-78.92024801,-5,-78.92024801,5
-74.83306253,-1.237713476,-7.37E-09,-79.37827855,-5,-79.37827855,5
-75.26471463,-1.244852854,2.43E-09,-79.83652691,-5,-79.83652691,5
-75.69655886,-1.25199541,2.38E-08,-80.29499303,-5,-80.29499303,5
-76.12859515,-1.259141148,1.09E-08,-80.75367684,-5,-80.75367684,5
-76.56082344,-1.266290062,-6.38E-08,-81.21257827,-5,-81.21257827,5
-76.99324366,-1.273442139,-1.11E-07,-81.67169725,-5,-81.67169725,5
-77.42585577,-1.280597375,1.45E-07,-82.13103372,-5,-82.13103372,5
-77.8586597,-1.287755813,3.90E-07,-82.59058759,-5,-82.59058759,5
-78.29165538,-1.294917484,-1.97E-07,-83.0503588,-5,-83.0503588,5
-78.72484272,-1.302082292,-1.31E-06,-83.51034728,-5,-83.51034728,5
-79.15822164,-1.309250026,-3.55E-07,-83.97055296,-5,-83.97055296,5
-79.59179225,-1.316420909,3.62E-06,-84.43098655,-5,-84.43098655,5
-80.02555452,-1.323595599,4.89E-06,-84.89163893,-5,-84.89163893,5
-80.45950795,-1.330774173,-8.76E-06,-85.35250829,-5,-85.35250829,5
-80.89365217,-1.337954138,-2.07E-05,-85.81359454,-5,-85.81359454,5
-81.32798795,-1.345134097,1.51E-05,-86.27489762,-5,-86.27489762,5
-81.76251772,-1.352319931,7.24E-05,-86.73641745,-5,-86.73641745,5
-82.1972382,-1.359522516,7.76E-05,-87.19815396,-5,-87.19815396,5
-82.63215004,-1.366742381,2.16E-05,-87.66010708,-5,-87.66010708,5
-83.06724995,-1.373969309,-2.02E-05,-88.12227674,-5,-88.12227674,5
-83.50254048,-1.381196428,-1.04E-05,-88.58466285,-5,-88.58466285,5
-83.9380226,-1.388424624,3.96E-06,-89.04726534,-5,-89.04726534,5
-84.37369584,-1.395656584,4.03E-06,-89.51008414,-5,-89.51008414,5
-84.80955966,-1.402892421,-3.97E-08,-89.97311918,-5,-89.97311918,5
-85.24561404,-1.410131458,-1.41E-06,-90.43637037,-5,-90.43637037,5
-85.68185911,-1.417373403,-2.87E-07,-90.89983765,-5,-90.89983765,5
-86.11829476,-1.424618464,3.87E-07,-91.3635277,-5,-91.3635277,5
-86.55492092,-1.431866749,1.65E-07,-91.82743938,-5,-91.82743938,5
-86.9917375,-1.439118229,-1.04E-07,-92.29156691,-5,-92.29156691,5
-87.42874443,-1.446372854,-6.74E-08,-92.7559102,-5,-92.7559102,5
-87.86594166,-1.453630626,9.14E-09,-93.22046919,-5,-93.22046919,5
-88.30332912,-1.460891558,2.41E-08,-93.6852438,-5,-93.6852438,5
-88.74090673,-1.46815565,2.60E-09,-94.15023395,-5,-94.15023395,5
-89.17867443,-1.475422898,-7.35E-09,-94.61543955,-5,-94.61543955,5
-89.61663216,-1.4826933,-2.31E-09,-95.08086055,-5,-95.08086055,5
-90.05477983,-1.489966854,2.00E-09,-95.54649685,-5,-95.54649685,5
-90.49311738,-1.497243561,1.03E-09,-96.01234838,-5,-96.01234838,5
-90.93164475,-1.50452342,-4.44E-10,-96.47841506,-5,-96.47841506,5
-91.37036186,-1.511806428,-3.29E-10,-96.94469682,-5,-96.94469682,5
-91.80926864,-1.519092584,2.66E-10,-97.41119357,-5,-97.41119357,5
-92.24836504,-1.526381889,3.25E-10,-97.87790523,-5,-97.87790523,5
-92.68765097,-1.533674339,-1.05E-10,-98.34483451,-5,-98.34483451,5
-93.12712637,-1.540969936,-3.19E-10,-98.81198816,-5,-98.81198816,5
-93.56679116,-1.548268676,-1.23E-10,-99.27935648,-5,-99.27935648,5
-94.00664529,-1.555570559,7.50E-11,-99.74693938,-5,-99.74693938,5
-94.44668868,-1.562875584,5.70E-11,-100.2147368,-5,-100.2147368,5
-94.88692126,-1.57018375,1.00E-11,-100.6827486,-5,-100.6827486,5
-95.32734296,-1.577495055,-3.20E-11,-101.1509748,-5,-101.1509748,5
-95.76795371,-1.584809499,-6.80E-11,-101.6194153,-5,-101.6194153,5
-96.20875345,-1.59212708,6.00E-12,-102.0880699,-5,-102.0880699,5
-96.64974209,-1.599447797,2.05E-10,-102.5569387,-5,-102.5569387,5
-97.09091959,-1.606771649,2.67E-10,-103.0260214,-5,-103.0260214,5
-97.53228585,-1.614098635,-2.80E-11,-103.4953181,-5,-103.4953181,5
-97.97384082,-1.621428753,-3.19E-10,-103.9648287,-5,-103.9648287,5
-98.41558443,-1.628762003,-1.56E-10,-104.4345531,-5,-104.4345531,5
-98.8575166,-1.636098384,7.30E-11,-104.9044911,-5,-104.9044911,5
-99.29963726,-1.643437893,3.30E-11,-105.3746427,-5,-105.3746427,5
-99.74194635,-1.65078053,-1.73E-10,-105.8450191,-5,-105.8450191,5
-100.1844438,-1.658126294,-2.33E-10,-106.31561,-5,-106.31561,5
-100.6271295,-1.665475184,-1.04E-10,-106.7864143,-5,-106.7864143,5
-101.0700035,-1.672827198,2.50E-11,-107.2574319,-5,-107.2574319,5
-101.5130655,-1.680182336,1.30E-10,-107.7286626,-5,-107.7286626,5
